ipo_name,date,text
Vedant Fashions,16-02-22,"IPO Name: Vedant Fashions
Date Opened: 16-02-22
Issue Size (crores): 
Offer Price: 
List Price: 
Listing Gain: 
QIB subscription: 7.49
HNI subscription: 1.07
RII subscription: 0.39
CMP (BSE): 
Current Gains: "
Adani Wilmar,08-02-22,"IPO Name: Adani Wilmar
Date Opened: 08-02-22
Issue Size (crores): 
Offer Price: 
List Price: 
Listing Gain: 
QIB subscription: 5.73
HNI subscription: 56.3
RII subscription: 3.92
CMP (BSE): 
Current Gains: "
AGS Transact,31-01-22,"IPO Name: AGS Transact
Date Opened: 31-01-22
Issue Size (crores): 
Offer Price: 
List Price: 
Listing Gain: 
QIB subscription: 2.68
HNI subscription: 25.61
RII subscription: 3.08
CMP (BSE): 
Current Gains: "
CMS Info System,31-12-21,"IPO Name: CMS Info System
Date Opened: 31-12-21
Issue Size (crores): 
Offer Price: 
List Price: 
Listing Gain: 
QIB subscription: 1.98
HNI subscription: 1.45
RII subscription: 2.15
CMP (BSE): 
Current Gains: "
Supriya Lifesci,28-12-21,"IPO Name: Supriya Lifesci
Date Opened: 28-12-21
Issue Size (crores): 
Offer Price: 
List Price: 
Listing Gain: 
QIB subscription: 31.83
HNI subscription: 161.22
RII subscription: 56.01
CMP (BSE): 
Current Gains: "
HP Adhesives,27-12-21,"IPO Name: HP Adhesives
Date Opened: 27-12-21
Issue Size (crores): 
Offer Price: 
List Price: 
Listing Gain: 
QIB subscription: 1.82
HNI subscription: 19.04
RII subscription: 81.24
CMP (BSE): 
Current Gains: "
Data Patterns,24-12-21,"IPO Name: Data Patterns
Date Opened: 24-12-21
Issue Size (crores): 
Offer Price: 
List Price: 
Listing Gain: 
QIB subscription: 190.86
HNI subscription: 254.22
RII subscription: 23.14
CMP (BSE): 
Current Gains: "
Metro Brands,22-12-21,"IPO Name: Metro Brands
Date Opened: 22-12-21
Issue Size (crores): 
Offer Price: 
List Price: 
Listing Gain: 
QIB subscription: 8.49
HNI subscription: 3.02
RII subscription: 1.13
CMP (BSE): 
Current Gains: "
C. E. Info Syst,21-12-21,"IPO Name: C. E. Info Syst
Date Opened: 21-12-21
Issue Size (crores): 
Offer Price: 
List Price: 
Listing Gain: 
QIB subscription: 196.36
HNI subscription: 424.69
RII subscription: 15.2
CMP (BSE): 
Current Gains: "
Shriram Prop,20-12-21,"IPO Name: Shriram Prop
Date Opened: 20-12-21
Issue Size (crores): 
Offer Price: 
List Price: 
Listing Gain: 
QIB subscription: 1.85
HNI subscription: 4.82
RII subscription: 12.72
CMP (BSE): 
Current Gains: "
Rategain Travel,17-12-21,"IPO Name: Rategain Travel
Date Opened: 17-12-21
Issue Size (crores): 
Offer Price: 
List Price: 
Listing Gain: 
QIB subscription: 8.42
HNI subscription: 42.04
RII subscription: 8.08
CMP (BSE): 
Current Gains: "
